,,"Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI","Alcohol, average daily intake in grams among drinkers with 95%CI"
"Countries, territories and areas","Year","Both sexes","Male","Female"
"Syrian Arab Republic","2016","33.4 [31.9-34.9]","37.5 [35.7-39.2]","13.9 [13.3-14.6]"
"Tajikistan","2016","34.2 [31.6-36.8]","41.7 [38.6-44.9]","15.4 [14.3-16.6]"
"Thailand","2016","43.9 [42.3-45.5]","56.7 [54.7-58.8]","19.8 [19.1-20.5]"
"Timor-Leste","2016","20.5 [18.9-22.1]","24.9 [23-26.8]","9.3 [8.6-10.1]"
"Togo","2016","26 [24.5-27.4]","32.1 [30.3-33.9]","12 [11.3-12.7]"
"Tonga","2016","23.1 [21.8-24.4]","27.9 [26.4-29.5]","10.3 [9.8-10.9]"
"Trinidad and Tobago","2016","30.8 [29.9-31.7]","41.4 [40.2-42.7]","14.6 [14.1-15]"
"Tunisia","2016","79.1 [75.3-82.9]","88.1 [83.9-92.3]","31.4 [29.9-32.9]"
"Türkiye","2016","61.7 [58.7-64.6]","71.9 [68.5-75.4]","25.8 [24.5-27]"
"Turkmenistan","2016","38.6 [36.7-40.5]","48.5 [46.2-50.9]","17.6 [16.8-18.5]"
"Tuvalu","2016","25.9 [24.8-27]","31.3 [30-32.7]","11.6 [11.1-12.1]"
"Uganda","2016","56.3 [54.3-58.3]","70.7 [68.3-73.2]","26.9 [26-27.9]"
"Ukraine","2016","29.9 [28.5-31.4]","44.3 [42.1-46.4]","15.3 [14.6-16]"
"United Arab Emirates","2016","44.2 [41.7-46.8]","47.3 [44.6-50.1]","16.5 [15.6-17.5]"
"United Kingdom of Great Britain and Northern Ireland","2016","33.7 [32.8-34.6]","47.1 [45.9-48.3]","16.5 [16.1-17]"
"United Republic of Tanzania","2016","55.7 [53.1-58.3]","70.4 [67.1-73.6]","26.4 [25.2-27.7]"
"United States of America","2016","29.6 [28.8-30.4]","41 [40-42.1]","14.4 [14.1-14.8]"
"Uruguay","2016","34 [32.8-35.1]","47.4 [45.8-49]","16.8 [16.2-17.4]"
"Uzbekistan","2016","27.7 [26.3-29.1]","34.2 [32.4-35.9]","12.4 [11.8-13.1]"
"Vanuatu","2016","15.9 [15-16.9]","19.2 [18.1-20.4]","7.1 [6.7-7.5]"
"Venezuela (Bolivarian Republic of)","2016","32.1 [31-33.2]","40.9 [39.5-42.3]","14.8 [14.3-15.3]"
"Viet Nam","2016","49.3 [45.9-52.7]","62.9 [58.5-67.2]","22.4 [20.8-23.9]"
"Yemen","2016","20.3 [19.1-21.4]","23.8 [22.4-25.1]","9 [8.5-9.5]"
"Zambia","2016","38.3 [36.4-40.3]","47.3 [44.9-49.8]","17.9 [17-18.8]"
"Zimbabwe","2016","58.8 [56.5-61.2]","71.8 [68.9-74.7]","27.1 [26-28.2]"
